# Modelchains CH2018 QM freeze 2.1 Full names for plotfiles: No_PS chains show the explicit-Simulations all chains listed here are the Multi-Modell-Ensembleù used in CH2018;;;;
RCM;GCM;resolution;rcp;chain_name
DMI-HIRHAM;ECEARTH;EUR11;RCP26;DMI-HIRHAM_ECEARTH_EUR11_RCP26
DMI-HIRHAM;ECEARTH;EUR11;RCP45;DMI-HIRHAM_ECEARTH_EUR11_RCP45
DMI-HIRHAM;ECEARTH;EUR11;RCP85;DMI-HIRHAM_ECEARTH_EUR11_RCP85
KNMI-RACMO;HADGEM;EUR44;RCP26;KNMI-RACMO_HADGEM_EUR44_RCP26
KNMI-RACMO;HADGEM;EUR44;RCP45;KNMI-RACMO_HADGEM_EUR44_RCP45
KNMI-RACMO;HADGEM;EUR44;RCP85;KNMI-RACMO_HADGEM_EUR44_RCP85
MPICSC-REMO1;MPIESM;EUR11;RCP26;MPICSC-REMO1_MPIESM_EUR11_RCP26
MPICSC-REMO1;MPIESM;EUR11;RCP45;MPICSC-REMO1_MPIESM_EUR11_RCP45
MPICSC-REMO1;MPIESM;EUR11;RCP85;MPICSC-REMO1_MPIESM_EUR11_RCP85
MPICSC-REMO1;MPIESM;EUR44;RCP26;MPICSC-REMO1_MPIESM_EUR44_RCP26
MPICSC-REMO1;MPIESM;EUR44;RCP45;MPICSC-REMO1_MPIESM_EUR44_RCP45
MPICSC-REMO1;MPIESM;EUR44;RCP85;MPICSC-REMO1_MPIESM_EUR44_RCP85
MPICSC-REMO2;MPIESM;EUR11;RCP26;MPICSC-REMO2_MPIESM_EUR11_RCP26
MPICSC-REMO2;MPIESM;EUR11;RCP45;MPICSC-REMO2_MPIESM_EUR11_RCP45
MPICSC-REMO2;MPIESM;EUR11;RCP85;MPICSC-REMO2_MPIESM_EUR11_RCP85
MPICSC-REMO2;MPIESM;EUR44;RCP26;MPICSC-REMO2_MPIESM_EUR44_RCP26
MPICSC-REMO2;MPIESM;EUR44;RCP45;MPICSC-REMO2_MPIESM_EUR44_RCP45
MPICSC-REMO2;MPIESM;EUR44;RCP85;MPICSC-REMO2_MPIESM_EUR44_RCP85
SMHI-RCA;ECEARTH;EUR11;RCP26;SMHI-RCA_ECEARTH_EUR11_RCP26
SMHI-RCA;ECEARTH;EUR11;RCP45;SMHI-RCA_ECEARTH_EUR11_RCP45
SMHI-RCA;ECEARTH;EUR11;RCP85;SMHI-RCA_ECEARTH_EUR11_RCP85
SMHI-RCA;ECEARTH;EUR44;RCP26;SMHI-RCA_ECEARTH_EUR44_RCP26
SMHI-RCA;ECEARTH;EUR44;RCP45;SMHI-RCA_ECEARTH_EUR44_RCP45
SMHI-RCA;ECEARTH;EUR44;RCP85;SMHI-RCA_ECEARTH_EUR44_RCP85
SMHI-RCA;HADGEM;EUR44;RCP26;SMHI-RCA_HADGEM_EUR44_RCP26
SMHI-RCA;HADGEM;EUR44;RCP45;SMHI-RCA_HADGEM_EUR44_RCP45
SMHI-RCA;HADGEM;EUR44;RCP85;SMHI-RCA_HADGEM_EUR44_RCP85
SMHI-RCA;MIROC;EUR44;RCP26;SMHI-RCA_MIROC_EUR44_RCP26
SMHI-RCA;MIROC;EUR44;RCP45;SMHI-RCA_MIROC_EUR44_RCP45
SMHI-RCA;MIROC;EUR44;RCP85;SMHI-RCA_MIROC_EUR44_RCP85
SMHI-RCA;MPIESM;EUR44;RCP26;SMHI-RCA_MPIESM_EUR44_RCP26
SMHI-RCA;MPIESM;EUR44;RCP45;SMHI-RCA_MPIESM_EUR44_RCP45
SMHI-RCA;MPIESM;EUR44;RCP85;SMHI-RCA_MPIESM_EUR44_RCP85
SMHI-RCA;NORESM;EUR44;RCP26;SMHI-RCA_NORESM_EUR44_RCP26
SMHI-RCA;NORESM;EUR44;RCP45;SMHI-RCA_NORESM_EUR44_RCP45
SMHI-RCA;NORESM;EUR44;RCP85;SMHI-RCA_NORESM_EUR44_RCP85
